NOME;UF_SIGLA;REGIAO;LOCAL;INICIO;FINAL
Espírito Santo;ES;SUDESTE;RURAL;3212;3215
Rio de Janeiro;RJ;SUDESTE;RURAL;3331;3337
São Paulo;SP;SUDESTE;RURAL;3537;3553
Paraná;PR;SUL;RURAL;4125;4135
Santa Catarina;SC;SUL;RURAL;4218;4226
Rio Grande Do Sul;RS;SUL;RURAL;4325;4335
Mato Grosso do Sul;MS;CENTRO-OESTE;RURAL;5010;5013
Mato Grosso;MT;CENTRO-OESTE;RURAL;5113;5118
Goiás;GO;CENTRO-OESTE;RURAL;5218;5225
Distrito Federal;DF;CENTRO-OESTE;DF_URBANO;5301;5306
Distrito Federal;DF;CENTRO-OESTE;RURAL;5307;5308
